Year,Units,Value
2006,%,4.18
2007,%,
2008,%,
2009,%,4.23
2010,%,
2011,%,
2012,%,4.29
2013,%,
2014,%,
2015,%,4.13
2016,%,
2017,%,
2018,%,5.19
