Value,Disaggregation combinations using this value,Number of indicators
2.6,1,1
3.2,1,1
3.5,1,1
4.3,1,1
4.4,1,1
5,1,1
6.2,1,1
female,113,8
Frauen,6,1
male,113,8
Männer,6,1
