Year,Units,Value
2005,percentage,7.2
2006,percentage,8.5
2007,percentage,10.3
2008,percentage,10.1
2009,percentage,10.6
2010,percentage,11.5
2011,percentage,12.5
2012,percentage,13.7
2013,percentage,13.8
2014,percentage,14.4
2015,percentage,15.2
2016,percentage,15.0
2017,percentage,16.1
2018,percentage,16.9
2019,percentage,17.8
2020,percentage,19.5
2021,percentage,18.8
2022,percentage,20.5
2030,percentage,
2040,percentage,
2050,percentage,
